worker_id,monthly_income,monthly_income_2,income_volatility,platform_count,days_to_recover,surplus_ratio,stability_score,working_days,jobs_completed,avg_daily_income,income_growth_rate,expense_ratio,savings_amount,late_payment_count,work_consistency_score
53,71028,35654,0.87,4,6,0.26,58.21,15,69,2528,0.21,0.43,2308,0,60.89
54,39402,55413,0.78,1,23,0.35,0.26,14,163,1999,0.21,0.34,19692,3,45.22
55,41019,65149,0.14,3,21,0.4,22.78,17,28,1310,-0.03,0.85,11158,4,81.4
56,48093,62294,0.34,2,18,0.26,52.62,19,167,2097,0.19,0.45,18244,5,9.89
57,77162,75537,0.67,1,4,0.11,98.27,25,170,1737,0.13,0.6,3384,6,71.74
58,78145,76866,0.29,4,26,0.6,60.95,15,127,508,-0.02,0.62,16671,8,49.49
59,15322,32574,0.78,1,18,0.65,97.9,10,111,1432,0.09,0.78,2955,3,23.32
60,30664,60148,0.82,3,14,0.67,97.01,20,135,649,-0.09,0.77,14324,9,10.13
61,24738,10491,0.2,4,5,0.26,5.3,14,66,973,0.27,0.33,1883,9,84.16
62,24345,75147,0.73,4,9,0.74,36.43,25,134,988,0,0.63,6428,8,87.54
63,66265,36148,0.15,4,1,0.3,86.82,20,157,2248,0.28,0.67,17274,2,74.06
64,71644,48929,0.32,3,21,0.51,24.26,17,189,1718,0.26,0.84,13533,7,24.64
65,58571,21370,0.86,4,2,0.66,40.55,12,176,2017,0.15,0.69,5686,9,37.62
66,35452,33862,0.12,4,1,0.16,6.08,19,195,2580,0.28,0.66,1929,9,47.07
67,63892,37898,0.81,2,1,0.3,0.43,19,76,481,0.04,0.44,3434,6,27.21
68,63978,29540,0.65,1,12,0.51,92.6,29,133,439,0.22,0.73,19708,0,14.24
69,28126,76956,0.84,4,7,0.58,24.62,24,173,507,0.29,0.62,1275,7,12.76
70,47833,17207,0.12,1,17,0.66,42,10,135,1899,-0.02,0.76,8473,4,48.8
71,14031,27773,0.43,4,1,0.21,2.63,29,85,1832,0.18,0.42,11869,9,79.9
72,20091,30308,0.8,4,24,0.49,97.59,24,96,2972,0.01,0.57,18613,4,63.88
73,72637,51017,0.12,4,28,0.44,92.41,22,98,1229,0.18,0.31,2130,6,81.77
74,17489,24495,0.65,2,10,0.11,71.32,24,69,2514,0.16,0.76,10853,6,30.44
75,56456,52668,0.75,1,9,0.65,18.31,13,79,2353,0.22,0.74,6936,7,71.15
76,76710,66213,0.76,2,13,0.66,31.29,11,182,1946,0.18,0.58,6348,0,10.65
77,61402,76105,0.18,3,21,0.65,23.14,26,47,2753,0.17,0.88,6234,5,21.57
78,18146,12582,0.34,4,1,0.22,90.3,23,96,1311,-0.06,0.36,5058,2,24.43
79,53216,79807,0.43,4,19,0.65,14.08,12,146,2348,0.16,0.87,11933,2,31.32
80,73466,11742,0.45,1,15,0.54,75.29,20,165,1472,0.1,0.36,3882,1,13.58
81,28509,49317,0.45,2,2,0.21,53.67,19,106,1243,0.2,0.85,10095,9,72.8
82,51784,67372,0.76,4,25,0.27,36.78,29,147,1336,0.22,0.8,9364,7,90.35
83,21586,64162,0.84,3,21,0.32,81.85,23,53,704,0.23,0.82,11740,1,13.23
84,43971,26976,0.36,3,9,0.38,66.65,22,70,304,0.01,0.69,14126,3,79.79
85,27667,65810,0.52,1,1,0.15,1.15,14,28,2696,-0.01,0.59,12657,1,97.88
86,35042,32152,0.61,4,22,0.17,76.39,19,158,1671,0.29,0.78,4201,3,95.38
87,64888,44054,0.11,1,8,0.27,13.55,10,22,2582,0.06,0.7,14490,5,67.44
88,16384,36527,0.12,3,9,0.32,36.41,20,85,604,0.04,0.32,4672,0,84.16
89,68554,41557,0.4,1,25,0.68,67.92,27,162,2469,0.28,0.77,7438,4,35.94
90,59429,79361,0.65,1,7,0.29,34.61,20,158,2006,0.22,0.51,4789,3,19.86
91,69789,75518,0.18,4,14,0.38,12.57,23,166,1979,0.23,0.66,2588,5,77.08
92,64710,31321,0.56,4,2,0.76,91.85,10,85,1720,0.15,0.46,12104,7,31.78
93,14407,77759,0.57,3,29,0.64,97,12,176,889,0.12,0.82,15660,6,39.68
94,26736,19260,0.58,1,12,0.69,18.66,22,156,2253,0.17,0.77,2545,6,37.53
95,73453,17111,0.23,4,25,0.76,2.67,22,83,1115,-0.02,0.72,12097,8,90.86
96,10137,59559,0.68,2,20,0.62,10.13,27,86,2837,0.16,0.68,18017,3,62.39
97,72998,35236,0.44,1,20,0.48,37.06,23,56,842,-0.02,0.65,13731,6,56.59
98,38351,38253,0.72,3,27,0.65,2.19,20,60,2003,0.03,0.9,1453,9,39.55
99,52834,69564,0.62,4,3,0.46,55.92,19,31,2707,0.23,0.38,5216,1,35.44
100,77951,57939,0.79,2,16,0.29,21.54,20,144,1898,0.18,0.56,11432,5,25.97
101,17803,12902,0.84,3,27,0.53,60.45,28,49,728,0.22,0.79,9839,4,34.19
102,29697,57037,0.31,4,29,0.25,52.96,21,105,2355,0.03,0.73,19856,9,74.08
103,72720,11241,0.51,2,24,0.66,5.97,14,114,2190,0.21,0.38,19208,9,81.13
104,33952,56982,0.34,1,25,0.21,88.47,24,186,2971,0.07,0.75,7758,7,39.36
105,67049,12797,0.14,1,2,0.37,33.76,12,192,1476,0.24,0.7,7136,3,86.01
106,79684,62189,0.11,3,7,0.27,36.48,20,151,431,-0.1,0.8,13874,5,5.25
107,70253,59632,0.48,3,27,0.66,14.88,28,57,890,0.25,0.67,17339,6,95.85
108,55723,32207,0.86,1,19,0.22,17.41,19,161,2359,0.02,0.37,14838,4,49.57
109,50341,61781,0.53,1,27,0.33,60.68,16,89,454,-0.05,0.9,13251,9,33.07
110,23254,14652,0.2,3,11,0.37,10.17,22,70,2780,0.02,0.45,3139,7,73.87
111,39119,31092,0.74,4,26,0.44,9,28,175,686,0.15,0.6,14512,1,85.5
112,19871,47657,0.61,1,13,0.29,31.65,23,166,1862,0.19,0.89,17347,7,9.6
113,46014,76457,0.22,2,26,0.54,31.56,11,172,2468,-0.01,0.33,10108,5,57.67
114,41491,69171,0.17,2,19,0.33,78.02,20,135,554,-0.02,0.73,6816,8,40.95
115,62630,49074,0.49,1,5,0.68,22.62,15,82,690,0.09,0.66,9524,3,4.15
116,70844,11050,0.61,3,25,0.54,48.68,24,120,589,0,0.38,9494,6,43.67
117,45124,22698,0.49,2,10,0.68,73.67,21,84,1942,0.11,0.89,5527,4,40.44
118,29971,50512,0.88,4,18,0.73,84.62,12,23,1587,0.16,0.46,16615,8,39.28
119,52240,36866,0.42,2,9,0.2,4.78,14,199,1953,0.14,0.79,11721,8,48.11
120,43045,44792,0.18,3,10,0.21,1.26,20,150,1340,-0.1,0.45,10558,9,82.08
121,48726,14851,0.88,1,9,0.75,60.36,27,145,1913,0.04,0.43,5274,2,21.2
122,38138,45640,0.11,1,28,0.77,27.3,25,126,1714,0.01,0.86,19408,8,84.69
123,21121,13180,0.42,1,14,0.55,28.01,29,86,906,-0.03,0.63,8991,7,92.65
124,20344,38107,0.63,3,25,0.25,4.36,17,25,1007,-0.01,0.53,1241,8,24.71
125,59794,60164,0.34,4,1,0.64,46.24,29,192,2286,0.2,0.35,4713,0,23.11
126,66007,68626,0.14,4,14,0.57,99.6,17,95,1911,0.26,0.62,15210,2,77.08
127,57339,51298,0.58,4,26,0.68,93.11,28,98,539,0.1,0.87,14778,0,65.24
128,21166,53789,0.49,1,1,0.57,33.77,17,76,561,0.1,0.68,15600,1,16.35
129,22466,51213,0.34,3,22,0.2,72.51,11,192,2576,-0.05,0.74,17262,0,72.04
130,76134,33665,0.35,4,4,0.59,43.57,23,142,2677,-0.03,0.57,8265,2,25.64
131,28956,18702,0.13,2,6,0.59,82.84,16,39,2497,0.03,0.69,2581,1,25.56
132,28415,64222,0.49,1,14,0.13,30.56,21,154,1735,0.08,0.41,19148,3,14.79
133,53848,34141,0.71,1,24,0.77,35.77,12,193,2436,-0.04,0.9,14616,3,28.52
134,54583,30564,0.74,4,27,0.61,79.61,25,43,1155,0.02,0.59,18372,4,51.93
135,55935,49648,0.14,3,1,0.38,39.64,13,175,2637,0.01,0.37,2354,8,85.87
136,35781,10744,0.17,2,19,0.74,3,27,152,903,0.25,0.78,11816,7,42.42
137,17568,77467,0.29,3,15,0.21,31.49,13,90,1586,0.14,0.61,9066,8,27.05
138,63210,24126,0.62,4,1,0.53,22.55,28,155,2990,0.01,0.89,11939,7,80.74
139,26781,63010,0.17,3,6,0.31,18.28,12,99,2246,0.01,0.71,19047,9,26.28
140,37239,15194,0.87,2,14,0.76,43.18,29,33,920,0.29,0.5,5577,6,87.64
141,45954,13630,0.66,3,27,0.45,3.44,29,57,1334,0.29,0.35,17229,0,75.39
142,37907,41578,0.47,4,11,0.75,7.8,22,153,2632,0.26,0.41,1143,2,55.54
143,27705,61390,0.16,4,28,0.2,41.48,29,50,2510,0.15,0.41,10077,4,14.18
144,13859,69549,0.36,4,6,0.69,64.17,29,190,2261,0.11,0.78,2245,1,92.4
145,26557,44838,0.54,3,13,0.74,48.16,21,60,2401,-0.01,0.44,8194,7,73.62
146,43871,56027,0.24,3,21,0.79,73.13,24,108,1809,0.14,0.68,5062,5,78.77
147,48914,22618,0.79,4,13,0.53,27.16,28,164,2355,0.15,0.68,1095,6,74.36
148,49134,31843,0.78,1,6,0.14,29.37,17,144,1459,-0.09,0.52,18878,7,98.24
149,52176,20276,0.53,1,12,0.18,99.18,19,179,1019,0.14,0.86,5506,6,24.5
150,63568,62906,0.85,4,13,0.23,52.69,25,105,2183,0.16,0.4,9627,9,75.9
151,51506,68740,0.22,3,5,0.43,48.17,13,148,1702,0.28,0.47,11581,2,6.27
152,28483,51667,0.27,4,23,0.78,7.84,26,36,716,0.18,0.69,4869,3,0.49
153,59825,75657,0.23,3,25,0.65,46.62,25,88,1679,-0.01,0.45,13720,8,80.45
154,19638,19358,0.37,2,25,0.34,78.45,25,57,2132,0.1,0.53,14512,6,4.77
155,79876,79560,0.7,1,15,0.2,2.67,18,33,2147,0.25,0.4,11428,2,25.1
156,34370,29755,0.42,4,23,0.12,31.02,23,143,1056,0.16,0.86,13424,0,73.58
157,20967,44921,0.14,4,18,0.16,58.64,10,76,1119,0.14,0.52,3213,8,48.52
158,55621,69943,0.3,3,9,0.78,94.98,10,178,942,0.23,0.9,9210,5,98.02
159,70298,70061,0.37,1,16,0.79,52.92,26,136,1031,0.03,0.8,2457,4,95.49
160,39824,26733,0.25,2,1,0.48,37.32,10,191,760,0.04,0.74,13203,0,22.86
161,44568,56262,0.88,3,23,0.52,80.14,10,96,749,0.27,0.75,11504,8,34.79
162,44311,37085,0.85,3,7,0.54,31.92,26,170,2095,-0.04,0.32,5177,6,74.04
163,38531,22720,0.38,4,25,0.54,56.28,10,129,1276,-0.01,0.43,7342,4,87.96
164,21554,62729,0.68,1,17,0.13,2.96,27,26,2381,0.04,0.45,15735,6,43.56
165,11344,41022,0.68,4,3,0.27,59.98,21,42,912,0.13,0.51,6277,6,86.37
166,19870,37274,0.26,2,24,0.68,30.34,12,137,483,0.21,0.51,7536,6,37.01
167,11039,59313,0.86,1,15,0.79,24.63,13,140,1134,0.18,0.83,11306,6,66.54
168,34483,28820,0.24,1,22,0.76,71.39,10,153,1104,0.14,0.39,3924,9,26.54
169,78632,30660,0.12,2,15,0.47,94.33,29,189,1694,0.13,0.34,13399,8,96.02
170,41866,71453,0.45,2,4,0.36,55.83,28,161,2314,-0.07,0.9,15606,0,36.35
171,40662,11954,0.48,4,13,0.56,69.84,21,100,1494,0.1,0.45,16062,8,97.82
172,54413,29515,0.84,2,27,0.78,45.38,28,147,1979,0.04,0.82,13082,2,82.87
173,20269,75201,0.73,1,9,0.38,70.36,14,54,1760,0.19,0.54,1115,5,94.16
174,54086,49618,0.39,3,18,0.18,0.16,13,153,2196,0,0.64,5235,6,64.6
175,49835,14923,0.39,1,27,0.29,19.25,23,78,1925,0.28,0.5,12508,2,84.12
176,77893,30245,0.59,4,22,0.41,81.05,14,79,323,0.13,0.72,2160,4,22.27
177,42389,33378,0.45,1,4,0.57,25.03,10,105,813,0.09,0.49,6180,4,49.13
178,70772,71136,0.64,2,18,0.63,4.83,23,151,1805,0.22,0.71,13148,6,8.28
179,14151,41910,0.2,4,8,0.54,55.81,14,144,1195,0.29,0.48,13450,4,22.38
180,46921,15360,0.13,1,28,0.74,65.33,24,54,2500,0.26,0.84,2699,9,74.44
181,16561,67631,0.59,1,15,0.18,38.05,27,58,1033,0.28,0.36,2393,1,63.7
182,16218,50205,0.3,4,25,0.36,16.91,14,124,2477,0.07,0.3,7299,9,16.53
183,21546,41830,0.71,3,16,0.61,78.42,29,133,2499,0.21,0.72,12237,5,65.09
184,28803,29030,0.63,2,4,0.27,87.05,26,179,1426,0.28,0.52,16376,6,85.75
185,42402,55102,0.8,1,16,0.64,47.76,19,116,2886,0.24,0.37,3467,9,48.38
186,10618,77403,0.75,4,12,0.26,45.5,23,141,2746,0.07,0.69,3224,9,31.97
187,48524,66796,0.81,4,29,0.38,44.37,20,178,1484,0.03,0.78,16516,4,66.17
188,43350,79406,0.86,4,28,0.31,12.36,28,189,2599,0.02,0.89,15004,2,99.02
189,49964,57701,0.48,1,27,0.22,33.96,15,38,2583,0.06,0.4,3931,3,64.19
190,19684,37707,0.23,1,17,0.28,36.4,20,183,2159,-0.01,0.67,10098,4,2.61
191,21100,38962,0.37,3,17,0.74,17.39,14,169,1466,0.17,0.88,13134,6,53.31
192,16777,40140,0.5,4,20,0.2,31.97,16,48,2953,0.12,0.53,6410,0,66.15
193,65507,76085,0.81,3,22,0.14,9.44,13,26,2712,0.19,0.36,2670,1,4.37
194,62795,56527,0.8,4,19,0.58,70.41,23,23,2088,0.15,0.52,16414,9,71.61
195,61144,34968,0.32,3,2,0.56,51.21,12,139,2236,0.12,0.56,8917,9,60.52
196,20381,51540,0.56,1,3,0.26,96.86,21,101,2412,0.08,0.33,14392,1,57.48
197,21895,39762,0.69,4,6,0.56,51.1,29,186,428,0.19,0.84,5948,6,72.23
198,37220,26810,0.75,4,17,0.19,29.22,15,85,352,-0.09,0.75,17309,9,61.68
199,68407,49887,0.5,3,2,0.32,93.13,24,49,2057,0.18,0.86,1374,4,60.81
200,71083,33018,0.24,4,4,0.26,23.01,27,142,1788,-0.06,0.79,13400,4,62.66
201,34762,19215,0.14,1,26,0.48,61.54,29,191,2335,0.3,0.55,3304,1,14.56
202,23306,27670,0.6,3,5,0.59,74.35,26,119,1975,0.07,0.73,6416,3,37.05
203,13643,25303,0.87,1,1,0.47,74.01,27,46,1554,0.12,0.74,5429,5,17.65
204,59868,41474,0.43,3,22,0.54,5.52,14,67,1061,0.03,0.36,19031,1,52.41
205,45823,54591,0.25,2,20,0.73,96.65,28,25,408,-0.06,0.34,16571,9,40.28
206,36827,21180,0.65,1,9,0.67,5.51,28,133,2851,-0.02,0.67,3796,6,79.32
207,52691,55264,0.42,2,16,0.33,66.32,16,89,1779,0.06,0.54,11491,9,98.7
208,12398,26558,0.31,4,14,0.66,19.38,24,128,2618,0.25,0.87,1199,3,60.88
209,73300,69679,0.27,2,14,0.75,77.94,19,181,883,-0.05,0.62,15183,3,0.96
210,43093,51296,0.15,1,12,0.78,59.1,15,45,442,-0.08,0.57,8806,2,86.99
211,24295,35353,0.42,4,3,0.48,42.4,13,59,1766,0.05,0.41,19863,8,26.18
212,38670,64596,0.55,4,5,0.7,91.36,15,26,2075,-0.06,0.86,2861,9,54.84
213,47227,65902,0.88,1,8,0.5,57.83,17,88,358,0.06,0.74,12835,5,79.2
214,29803,61544,0.2,4,1,0.24,5.71,25,187,2684,0.26,0.6,3097,0,96.75
215,76848,37868,0.44,1,15,0.36,73.33,12,191,2805,0.12,0.9,14395,1,28.21
216,69936,37768,0.28,4,8,0.67,51.18,18,182,611,0.09,0.62,2549,5,40.99
217,62975,77147,0.78,1,28,0.32,55.74,27,112,516,0.21,0.72,3272,5,16.77
218,69023,67142,0.2,3,17,0.59,17.85,10,67,579,0.22,0.7,4775,1,72.33
219,59268,25569,0.12,2,22,0.26,31.66,18,168,2354,0.07,0.87,13155,3,27.17
220,28552,27856,0.64,4,14,0.37,64.37,14,33,1095,0.06,0.39,6617,1,24.37
221,50673,75083,0.59,3,14,0.53,43.99,23,139,1371,0,0.8,12775,7,57.87
222,77174,36337,0.73,1,24,0.31,93.81,13,198,664,0.24,0.68,11862,3,25.96
223,79411,62636,0.86,2,4,0.36,54.33,13,193,1789,0.22,0.72,14837,4,70.12
224,72081,24058,0.47,1,9,0.74,55.22,10,181,1979,-0.05,0.85,4900,6,36.37
225,11834,30025,0.61,3,13,0.5,86.43,27,100,323,0.15,0.38,4079,5,87.62
226,24441,79968,0.45,4,5,0.2,69.45,17,119,2904,0.15,0.78,7634,9,67.99
227,25879,31001,0.4,2,5,0.58,26.32,10,122,1462,-0.09,0.58,3554,3,79.13
228,66632,35428,0.59,1,17,0.25,64.68,28,155,2891,-0.06,0.73,6873,5,98.57
229,68555,56278,0.69,4,21,0.79,88.9,21,51,971,0.15,0.73,19913,1,53.5
230,44805,57754,0.74,4,10,0.61,24.52,28,69,2819,0.03,0.84,16405,5,35.71
231,57223,72170,0.23,4,28,0.65,1.76,28,34,726,0.09,0.82,13724,2,44.91
232,75124,17963,0.72,2,10,0.2,0.19,29,56,2549,-0.09,0.86,15504,4,83.27
233,19221,13934,0.15,3,24,0.17,60.06,14,135,709,0.16,0.51,3948,1,60.51
234,74719,65630,0.45,3,22,0.14,79.19,17,51,1923,0.22,0.88,13331,8,32.7
235,42319,75717,0.77,1,14,0.54,66.78,11,122,2272,0.2,0.38,19560,6,65.11
236,64721,21571,0.59,3,18,0.43,87.2,27,167,2627,0.16,0.73,13837,6,7.02
237,69918,46048,0.42,2,17,0.44,4.03,26,112,1084,-0.07,0.68,10635,1,76.64
238,15698,67292,0.68,1,6,0.11,82.21,23,52,1162,0.17,0.35,11136,6,36.24
239,33285,47610,0.87,4,12,0.68,45.79,16,33,397,0.24,0.86,8260,3,62.1
240,33739,75615,0.19,3,17,0.23,10.15,21,70,2354,0.01,0.89,7403,3,21.84
241,60087,65348,0.85,3,21,0.73,18.97,15,93,1474,0.12,0.86,12700,4,66.08
242,16350,10619,0.66,1,5,0.72,34.89,24,179,1093,0.16,0.4,2088,6,19.53
243,27629,75518,0.47,3,20,0.68,55.31,27,114,2117,-0.04,0.76,15093,2,38.95
244,69313,33083,0.45,3,13,0.66,15.96,25,131,2829,-0.07,0.69,11811,1,82.71
245,51457,64112,0.71,3,22,0.77,28.37,20,62,718,0.01,0.85,2638,7,18.04
246,49730,31497,0.58,4,3,0.58,28.25,28,30,2096,0.23,0.81,3934,0,17.39
247,70356,36155,0.49,4,1,0.35,63.11,17,159,1141,-0.04,0.58,8828,3,8.43
248,30060,72050,0.54,3,14,0.74,76,12,74,2822,0.28,0.76,5518,6,30.18
249,71561,54381,0.53,1,3,0.58,49.18,29,127,2255,0.02,0.79,1750,8,90.33
250,38846,54184,0.56,4,13,0.17,47.43,10,116,2797,-0.03,0.48,1414,8,71.73
251,71020,54396,0.63,3,3,0.55,11.57,18,93,857,0.11,0.56,7116,6,45.89
252,68304,36799,0.71,3,27,0.52,70.78,18,63,2694,0.2,0.49,12746,1,99.87
253,16982,27945,0.37,2,26,0.75,93.02,15,146,2053,0.25,0.55,13525,5,8.69
254,36092,16627,0.31,3,22,0.52,31.62,11,189,542,0.06,0.66,14927,0,63.77
255,59505,31631,0.71,1,6,0.35,11.51,13,157,2989,0.12,0.52,2095,4,64.69
256,70616,53488,0.89,2,22,0.19,15.47,10,101,1821,-0.02,0.67,2204,5,14.12
257,10200,56603,0.49,4,28,0.65,70.68,20,41,719,0.12,0.55,7069,2,2.98
258,25735,17619,0.58,2,5,0.17,67.35,22,107,1077,0.05,0.3,17358,8,52.41
259,35612,63337,0.47,3,20,0.51,62.15,14,67,1969,-0.04,0.71,14129,1,6.09
260,59838,32946,0.56,2,25,0.76,15.08,14,136,1076,0.26,0.54,14459,9,83.78
261,20832,62115,0.17,4,15,0.7,39.85,13,182,421,0.09,0.33,9765,5,11.83
262,71521,49005,0.65,4,5,0.58,94.18,28,67,2337,0.16,0.63,10693,0,44.15
263,61756,36714,0.3,2,8,0.62,31.46,18,170,342,0.01,0.35,19924,7,71.19
264,78658,59773,0.85,1,5,0.58,3.22,20,181,516,0.29,0.54,7598,6,33.08
265,33914,11731,0.76,3,13,0.4,20.8,23,99,2139,0.23,0.85,5640,9,34.67
266,37447,28800,0.88,2,3,0.58,22.17,28,37,881,0.25,0.75,6381,7,38.33
267,54726,79192,0.46,3,24,0.27,69.21,14,62,1658,0.25,0.73,10713,8,52.9
268,60442,47125,0.61,3,18,0.53,11.91,24,183,1443,0.03,0.58,8266,4,49.71
269,76717,79885,0.12,4,3,0.58,32.81,10,179,1837,0.3,0.74,2145,5,68.55
270,79601,16821,0.66,2,15,0.27,7.41,14,46,978,-0.04,0.31,13034,4,79.51
271,10212,68305,0.42,1,18,0.74,25.54,17,163,1674,-0.09,0.88,16698,7,3.37
272,68398,77199,0.17,1,20,0.57,66.82,21,105,812,-0.02,0.74,16086,1,95.87
273,73239,16951,0.52,3,25,0.39,6.28,29,156,332,0.03,0.42,10437,7,65.97
274,63079,54435,0.31,2,23,0.76,40.79,25,130,1135,0.15,0.84,15103,9,74.02
275,73541,52734,0.32,3,5,0.65,64.08,12,116,1672,0.18,0.42,13745,0,59.53
276,62465,42717,0.14,3,26,0.55,2.7,11,46,1448,0,0.42,15134,2,89.09
277,39699,14061,0.87,2,8,0.37,26.23,27,94,2890,0.26,0.5,4007,1,99.25
278,39486,34809,0.16,4,10,0.64,90.07,23,177,2685,0.23,0.48,12512,5,25.61
279,79968,15125,0.79,2,11,0.6,2.43,29,52,1220,0.11,0.59,1966,4,60.23
280,66412,62460,0.79,3,15,0.52,61.62,20,121,1396,0.23,0.58,6807,0,26
281,47478,77392,0.58,4,5,0.37,25.16,13,194,745,-0.03,0.49,14281,6,79.14
282,60214,60705,0.37,3,14,0.6,70.96,16,101,1834,0.22,0.55,9259,4,58.79
283,41015,56396,0.77,3,14,0.22,2.92,12,89,2484,0.01,0.77,5283,7,43.89
284,60963,33605,0.63,2,21,0.66,33.22,20,133,2343,0.21,0.52,18829,7,51.28
285,72276,40353,0.74,1,22,0.29,83.89,27,38,2068,0.28,0.61,17700,8,82.47
286,46277,78131,0.71,3,3,0.35,76.88,24,35,2309,0.29,0.87,8985,4,43.53
287,78729,79580,0.5,3,27,0.63,92.07,23,73,1060,0.16,0.53,19296,1,63.46
288,10213,49761,0.33,2,7,0.46,12.22,16,118,845,0.03,0.5,12820,7,75.57
